Wall time,Step,Value
1741564706.0683017,0,-127.13134002685547
1741564709.504269,1,-217.8590087890625
1741564711.1831882,2,-333.0791015625
1741564713.1354568,3,-234.2283172607422
1741564714.8531423,4,-120.80013275146484
1741564716.5953434,5,-310.2496337890625
1741564718.7670357,6,-138.19007873535156
1741564720.964187,7,-23.989835739135742
1741564723.6124337,8,-89.79418182373047
1741564725.1810217,9,-273.477783203125
1741564726.9821074,10,-109.29581451416016
1741564728.5156403,11,-78.4990463256836
1741564730.1266105,12,-206.05877685546875
1741564732.4872892,13,-219.58294677734375
1741564735.4262774,14,-18.044193267822266
1741564738.2921443,15,-122.47445678710938
1741564740.959201,16,-302.1882019042969
1741564742.838593,17,-94.7927017211914
1741564745.4061332,18,-44.14628601074219
1741564747.0025516,19,-137.0236053466797
1741564749.5801034,20,-143.26766967773438
1741564751.731768,21,-116.43184661865234
1741564753.5084882,22,-106.26945495605469
1741564755.9813638,23,-166.28952026367188
1741564757.5031474,24,-97.27703857421875
1741564760.002155,25,-295.1949462890625
1741564761.839279,26,-248.929931640625
1741564763.5159533,27,-152.56329345703125
1741564766.5978756,28,-110.14618682861328
1741564768.7111087,29,-53.83972930908203
1741564771.0695143,30,-60.75733947753906
1741564773.6890688,31,-108.08867645263672
1741564776.2512717,32,-165.81858825683594
1741564778.484062,33,-133.15562438964844
1741564781.0475805,34,-273.0224914550781
1741564782.5870857,35,-90.163330078125
1741564784.1435158,36,-135.16790771484375
1741564785.712577,37,-106.57372283935547
1741564787.3103213,38,-127.12126922607422
1741564789.4924626,39,-130.6734161376953
1741564791.5532842,40,-144.05674743652344
1741564792.9643028,41,-98.40475463867188
1741564795.1349373,42,-112.64141082763672
1741564796.4383044,43,-51.002174377441406
1741564798.7514045,44,-200.57168579101562
1741564800.7369618,45,-111.39319610595703
1741564802.5054128,46,-91.08121490478516
1741564803.6884158,47,-134.36947631835938
1741564805.6121476,48,-144.4647216796875
1741564807.1449718,49,-82.10392761230469
1741564808.599236,50,-54.664249420166016
1741564810.038386,51,-64.6915283203125
